Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Wind Speed [m/s](Hourly),Environment:Site Direct Solar Radiation Rate per Area [W/m2](Hourly),ZONE 1:Zone Mean Air Temperature [C](Hourly),ZONE 1:Zone Mean Air Humidity Ratio [kgWater/kgDryAir](Hourly),ZONE 1 PTHP:Zone Packaged Terminal Heat Pump Total Heating Rate [W](Hourly),ZONE 1 PTHP:Zone Packaged Terminal Heat Pump Electricity Rate [W](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),Electricity:HVAC [J](Hourly),InteriorLights:Electricity [J](Hourly) 
 03/08  12:00:00,-4.108333333,4.066666667,840.0833333,20.00181015,0.001816479,2652.572325,3047.748272,0,10798722.73,10971893.78,3110400
 03/08  13:00:00,-3.55,3.933333333,869,20.00003835,0.001887977,2355.522533,2659.817994,0,9424868.486,9575344.777,3110400
 03/08  14:00:00,-3.008333333,3.308333333,726.9166667,20.0000118,0.001944265,1896.806253,2135.001697,0,7565730.981,7686006.111,3110400
 03/08  15:00:00,-2.8,3.391666667,476.6666667,20.00000977,0.001963216,1571.977346,1791.562216,0,6348867.942,6449623.977,3110400
 03/08  16:00:00,-2.8,3.308333333,315.75,20.00001098,0.001582774,2378.209642,2511.83602,0,8901346.011,9042609.673,2073600
 03/08  17:00:00,-2.8,3.858333333,65.83333333,20.00001104,0.001443251,2709.286595,2747.102366,0,9735073.663,9889568.518,2073600
 03/08  18:00:00,-2.8,3.933333333,4,11.01790347,0.001354086,0,0,0,0,0,0
 03/08  19:00:00,-2.8,4.066666667,0,8.399722336,0.001396467,0,0,0,0,0,0
 03/08  20:00:00,-2.8,4.925,0,6.861633061,0.001518658,0,0,0,0,0,0
 03/08  21:00:00,-2.8,5.941666667,0,5.724115011,0.001505275,0,0,0,0,0,0
 03/08  22:00:00,-3.091666667,6.575,0,4.717450604,0.001416596,0,0,0,0,0,0
 03/08  23:00:00,-3.3,8.45,0,3.837500437,0.001353993,0,0,0,0,0,0
 03/08  24:00:00,-3.3,9.233333333,0,3.16069184,0.001419054,0,0,0,0,0,0
 03/09  01:00:00,-3.65,10.00833333,0,2.469993015,0.001500873,0,0,0,0,0,0
 03/09  02:00:00,-5.183333333,10.50833333,0,1.394892032,0.001765686,0,0,0,0,0,0
 03/09  03:00:00,-6.45,10.76666667,0,0.270714195,0.002027785,0,0,0,0,0,0
 03/09  04:00:00,-6.7,10.925,0,-0.426240279,0.001987315,0,0,0,0,0,0
 03/09  05:00:00,-6.7,10.50833333,0,-0.918517508,0.001987734,0,0,0,0,0,0
 03/09  06:00:00,-6.7,10.3,0,-1.325406909,0.001957799,0,0,0,0,0,0
 03/09  07:00:00,-6.7,8.666666667,0,-1.686851357,0.001908918,0,0,0,0,0,0
 03/09  08:00:00,-6.7,8.316666667,0,19.3937079,0.002291643,9617.896892,10988.82274,0,39350563.15,39559761.88,3110400
 03/09  09:00:00,-6.058333333,8.725,0,20.00062924,0.002607651,6616.90416,8012.354516,0,28634807.73,28844476.26,3110400
 03/09  10:00:00,-4.9,6.5,0,20.00044884,0.002813202,5545.514608,6646.50964,0,23717766.18,23927434.7,3110400
 03/09  11:00:00,-4.4,4.358333333,0.166666667,20.00039459,0.002961781,4934.733041,5931.406391,0,21143394.48,21353063.01,3110400
 03/09  12:00:00,-4.108333333,4.541666667,2.25,20.0003409,0.002964795,4392.426042,5271.515754,0,18767788.19,18977456.71,3110400
 03/09  13:00:00,-3.9,3.075,8.333333333,20.00021116,0.002942721,3848.390233,4644.53023,0,16510640.3,16720308.83,3110400
 03/09  14:00:00,-3.55,2.983333333,8.666666667,20.00010907,0.00298093,3391.982204,4081.757708,0,14484659.22,14694327.75,3110400
 03/09  15:00:00,-3.008333333,4.191666667,6.833333333,20.00022269,0.002997522,3042.568806,3561.030828,0,12614330.82,12819710.98,3110400
 03/09  16:00:00,-2.8,4.925,12.5,20.00015692,0.002746905,3883.607517,4246.426164,0,15077465.66,15287134.19,2073600
 03/09  17:00:00,-3.091666667,5.125,37.16666667,20.00006969,0.002511086,3934.239594,4270.749303,0,15165028.96,15374697.49,2073600
 03/09  18:00:00,-3.3,5.466666667,4.083333333,8.903988306,0.00213607,0,0,0,0,0,0
 03/09  19:00:00,-3.3,6.325,0,5.861369113,0.001955919,0,0,0,0,0,0
 03/09  20:00:00,-3.941666667,4.891666667,0,4.320562098,0.001894106,0,0,0,0,0,0
 03/09  21:00:00,-4.4,4.066666667,0,3.109043791,0.001852768,0,0,0,0,0,0
 03/09  22:00:00,-4.4,4.925,0,2.29607587,0.001734148,0,0,0,0,0,0
 03/09  23:00:00,-4.75,5.3,0,1.53731577,0.001688527,0,0,0,0,0,0
 03/09  24:00:00,-5,4.775,0,0.86869173,0.001780595,0,0,0,0,0,0
 03/10  01:00:00,-5.641666667,5.216666667,0,0.166722702,0.001661263,0,0,0,0,0,0
 03/10  02:00:00,-6.45,5.8,0,-0.633025539,0.001480569,0,0,0,0,0,0
 03/10  03:00:00,-6.991666667,5.508333333,0,-1.303070882,0.001477149,0,0,0,0,0,0
 03/10  04:00:00,-7.841666667,6.116666667,0,-2.051274785,0.001424772,0,0,0,0,0,0
 03/10  05:00:00,-8.65,6.991666667,0,-2.821332107,0.001291865,0,0,0,0,0,0
 03/10  06:00:00,-9.191666667,6.383333333,0,-3.467087777,0.001205336,0,0,0,0,0,0
 03/10  07:00:00,-9.75,7.141666667,5.666666667,-4.026667379,0.001175569,0,0,0,0,0,0
 03/10  08:00:00,-10,7.75,39.16666667,18.93491005,0.001471452,10692.56112,13997.55589,0,50181532.68,50391201.2,3110400
 03/10  09:00:00,-10,8.316666667,112,20.00169649,0.001664108,7402.259712,10942.81163,0,39184453.33,39394121.86,3110400
 03/10  10:00:00,-9.008333333,9.366666667,236.5,20.00139849,0.001765882,5899.172404,9314.423293,0,33322255.33,33531923.86,3110400
 03/10  11:00:00,-7.658333333,11.8,92.91666667,20.00069542,0.001908162,4967.513481,6815.764714,0,24327084.44,24536752.97,3110400
 03/10  12:00:00,-7.2,11.55,11.83333333,20.00044434,0.001965213,4554.644688,5999.332498,0,21387928.46,21597596.99,3110400
 03/10  13:00:00,-6.908333333,10.76666667,3.5,20.00039465,0.001976567,4279.317207,5621.939478,0,20029313.59,20238982.12,3110400
 03/10  14:00:00,-6.35,11.1,4,20.00031653,0.001960081,4012.733685,5137.458674,0,18285182.7,18494851.23,3110400
 03/10  15:00:00,-5.808333333,9.35,0.416666667,20.00023995,0.001906464,3857.765772,4748.081431,0,16883424.63,17093093.15,3110400
 03/10  16:00:00,-5.6,9.675,0,20.00025972,0.001608123,4873.879563,5608.024545,0,19979219.84,20188888.36,2073600
 03/10  17:00:00,-5.6,10.15833333,0,20.0001272,0.001483257,5061.262119,5754.788281,0,20507569.29,20717237.81,2073600
 03/10  18:00:00,-5.6,8.416666667,0,7.384359956,0.001406223,0,0,0,0,0,0
 03/10  19:00:00,-5.6,8.316666667,0,4.087937469,0.001355001,0,0,0,0,0,0
 03/10  20:00:00,-5.6,6.625,0,2.72001271,0.00132591,0,0,0,0,0,0
 03/10  21:00:00,-5.6,6.283333333,0,1.773828543,0.00140353,0,0,0,0,0,0
 03/10  22:00:00,-5.891666667,6.908333333,0,0.950206807,0.001455632,0,0,0,0,0,0
 03/10  23:00:00,-6.1,4.891666667,0,0.244366739,0.001500773,0,0,0,0,0,0
 03/10  24:00:00,-6.1,4.591666667,0,-0.282098347,0.001411922,0,0,0,0,0,0
 03/11  01:00:00,-6.45,4.016666667,0,-0.848341602,0.001327534,0,0,0,0,0,0
 03/11  02:00:00,-6.991666667,4.383333333,0,-1.483615039,0.001346532,0,0,0,0,0,0
 03/11  03:00:00,-7.55,4.775,0,-2.104192257,0.0013656,0,0,0,0,0,0
 03/11  04:00:00,-8.091666667,4.108333333,0,-2.706304204,0.001337127,0,0,0,0,0,0
 03/11  05:00:00,-8.3,4.191666667,0,-3.171494096,0.001305251,0,0,0,0,0,0
 03/11  06:00:00,-8.65,3.641666667,0,-3.614633809,0.001262426,0,0,0,0,0,0
 03/11  07:00:00,-9.541666667,3.391666667,115.5,-3.97641838,0.001210573,0,0,0,0,0,0
 03/11  08:00:00,-9.65,2.783333333,615.9166667,-2.791507292,0.001155644,0,0,0,0,0,0
 03/11  09:00:00,-8.466666667,2.55,786,-0.848127472,0.001188482,0,0,0,0,0,0
 03/11  10:00:00,-7.158333333,2.45,861.3333333,0.90893981,0.001212303,0,0,0,0,0,0
 03/11  11:00:00,-5.708333333,0.916666667,900.3333333,2.22971982,0.001272089,0,0,0,0,0,0
 03/11  12:00:00,-5,0.991666667,914.1666667,2.957501533,0.001315745,0,0,0,0,0,0
 03/11  13:00:00,-4.65,1.525,876.9166667,3.47324592,0.001344505,0,0,0,0,0,0
 03/11  14:00:00,-3.758333333,0.583333333,733.0833333,4.707584657,0.001362494,0,0,0,0,0,0
 03/11  15:00:00,-3.65,0.991666667,709.75,5.960209463,0.001321411,0,0,0,0,0,0
 03/11  16:00:00,-3.9,2.341666667,653.9166667,6.797126805,0.001364486,0,0,0,0,0,0
 03/11  17:00:00,-4.191666667,3.441666667,489.75,7.070150519,0.001451367,0,0,0,0,0,0
 03/11  18:00:00,-4.75,2.908333333,120.1666667,5.976579894,0.001467532,0,0,0,0,0,0
 03/11  19:00:00,-5.641666667,2.725,0,4.095002382,0.001435205,0,0,0,0,0,0
 03/11  20:00:00,-6.45,3.391666667,0,2.547637025,0.001357808,0,0,0,0,0,0
 03/11  21:00:00,-6.7,3.308333333,0,1.441152206,0.001371047,0,0,0,0,0,0
 03/11  22:00:00,-6.7,3.1,0,0.628927649,0.001481433,0,0,0,0,0,0
 03/11  23:00:00,-6.7,2.575,0,-0.038032203,0.001557563,0,0,0,0,0,0
 03/11  24:00:00,-6.991666667,2.725,0,-0.695056339,0.001608827,0,0,0,0,0,0
 03/12  01:00:00,-7.2,2.283333333,0,-1.297073215,0.001608836,0,0,0,0,0,0
 03/12  02:00:00,-7.841666667,1.525,0,-1.976408475,0.001582214,0,0,0,0,0,0
 03/12  03:00:00,-8.3,2.216666667,0,-2.653387582,0.001540317,0,0,0,0,0,0
 03/12  04:00:00,-8.65,2.8,0,-3.199944727,0.001535499,0,0,0,0,0,0
 03/12  05:00:00,-8.9,2.8,0,-3.698433436,0.001564762,0,0,0,0,0,0
 03/12  06:00:00,-8.55,2.8,0,-3.893354676,0.001615067,0,0,0,0,0,0
 03/12  07:00:00,-8.3,2.8,11,-3.948614015,0.001614477,0,0,0,0,0,0
 03/12  08:00:00,-8.008333333,2.45,71.16666667,-3.60420529,0.001648442,0,0,0,0,0,0
 03/12  09:00:00,-7.158333333,1.733333333,176.8333333,-2.621751371,0.001735203,0,0,0,0,0,0
 03/12  10:00:00,-5.708333333,1.05,420.75,-0.8776896,0.00182076,0,0,0,0,0,0
 03/12  11:00:00,-4.358333333,1.15,458.5833333,0.781026865,0.001941015,0,0,0,0,0,0
 03/12  12:00:00,-3.258333333,1.05,444.75,1.986304355,0.002095429,0,0,0,0,0,0
 03/12  13:00:00,-2.158333333,0.333333333,497.1666667,3.143893645,0.002161547,0,0,0,0,0,0
 03/12  14:00:00,-1.35,0.816666667,538.1666667,4.582039275,0.002129343,0,0,0,0,0,0
 03/12  15:00:00,-0.808333333,1.4,396.0833333,5.971494915,0.002042758,0,0,0,0,0,0
 03/12  16:00:00,-0.25,1.575,277.8333333,6.933130696,0.002000856,0,0,0,0,0,0
 03/12  17:00:00,0,2.341666667,127.4166667,7.108615268,0.002025445,0,0,0,0,0,0
 03/12  18:00:00,-0.35,2.975,39.91666667,6.467495457,0.001974783,0,0,0,0,0,0
 03/12  19:00:00,-0.891666667,3.1,0,5.345463757,0.002007332,0,0,0,0,0,0
 03/12  20:00:00,-1.45,2.925,0,4.380393008,0.002156498,0,0,0,0,0,0
 03/12  21:00:00,-1.991666667,2.975,0,3.537518958,0.002311322,0,0,0,0,0,0
 03/12  22:00:00,-2.55,2.925,0,2.766031812,0.00237567,0,0,0,0,0,0
 03/12  23:00:00,-2.8,2.45,0,2.140516064,0.002300872,0,0,0,0,0,0
 03/12  24:00:00,-2.8,3.833333333,0,1.693522547,0.00217618,0,0,0,0,0,0
 03/13  01:00:00,-3.441666667,4.65,0,1.095252168,0.002168148,0,0,0,0,0,0
 03/13  02:00:00,-4.191666667,4.925,0,0.397299898,0.002161185,0,0,0,0,0,0
 03/13  03:00:00,-4.75,5.3,0,-0.201223535,0.002083233,0,0,0,0,0,0
 03/13  04:00:00,-5.641666667,4.775,0,-0.906152954,0.001942892,0,0,0,0,0,0
 03/13  05:00:00,-6.45,3.641666667,0,-1.627723088,0.001748269,0,0,0,0,0,0
 03/13  06:00:00,-6.991666667,2.925,0,-2.2309337,0.001482054,0,0,0,0,0,0
 03/13  07:00:00,-7.55,2.45,137.1666667,-2.443998694,0.001363481,0,0,0,0,0,0
 03/13  08:00:00,-6.808333333,3.016666667,590.9166667,19.36508922,0.001672175,8878.946308,9957.790782,0,35638378.29,35848046.82,3110400
 03/13  09:00:00,-5.808333333,3.308333333,739.5833333,20.00038804,0.001869016,4889.339551,5781.351389,0,20603196.47,20812865,3110400
 03/13  10:00:00,-4.9,2.925,811.5833333,20.00017197,0.00188855,3497.931355,4060.175689,0,14408440.03,14616632.48,3110400
 03/13  11:00:00,-3.758333333,2.975,881,20.00138339,0.001900259,2775.591364,3085.023776,0,10931253.97,11106085.59,3110400
 03/13  12:00:00,-2.658333333,2.283333333,912.5833333,20.0000329,0.001947364,2331.89732,2473.427765,0,8765368.988,8904339.953,3110400
 03/13  13:00:00,-1.558333333,2.516666667,912.1666667,20.00000892,0.00205277,1871.622126,1902.972332,0,6744695.009,6850700.396,3110400
 03/13  14:00:00,-0.458333333,3.1,876.8333333,20.00000545,0.00226396,1320.25075,1292.603303,0,4581992.341,4653371.893,3110400
 03/13  15:00:00,0.641666667,2.925,769.5833333,20.00000156,0.002554626,664.7383199,636.9654207,0,2258202.847,2293075.515,3110400
 03/13  16:00:00,1.45,2.8,529.6666667,20.00000239,0.002181366,1082.601972,951.5010667,0,3373704.622,3425403.84,2073600
 03/13  17:00:00,1.7,2.45,231.25,20.0000026,0.002144274,1189.445534,1006.156973,0,3567586.887,3622165.103,2073600
 03/13  18:00:00,1.35,2.725,39.91666667,14.16850955,0.002270976,0,0,0,0,0,0
 03/13  19:00:00,0.458333333,2.575,0,11.15885246,0.002422823,0,0,0,0,0,0
 03/13  20:00:00,-0.35,2.55,0,9.24780867,0.002495369,0,0,0,0,0,0
 03/13  21:00:00,-0.891666667,2.158333333,0,7.800405505,0.002546802,0,0,0,0,0,0
 03/13  22:00:00,-1.45,2.341666667,0,6.568122823,0.002630761,0,0,0,0,0,0
 03/13  23:00:00,-1.991666667,2.8,0,5.47623345,0.002634488,0,0,0,0,0,0
 03/13  24:00:00,-2.2,2.975,0,4.614689125,0.002628358,0,0,0,0,0,0
 03/14  01:00:00,-2.2,3.566666667,0,3.967978279,0.002629087,0,0,0,0,0,0
 03/14  02:00:00,-2.2,3.433333333,0,3.421909941,0.002582687,0,0,0,0,0,0
 03/14  03:00:00,-2.2,3.858333333,0,2.951936764,0.002462936,0,0,0,0,0,0
 03/14  04:00:00,-2.2,3.933333333,0,2.549638488,0.002302786,0,0,0,0,0,0
 03/14  05:00:00,-2.2,4.416666667,0,2.195614615,0.002168535,0,0,0,0,0,0
 03/14  06:00:00,-2.2,5.175,0,1.881658671,0.002126505,0,0,0,0,0,0
 03/14  07:00:00,-2.2,4.016666667,0.833333333,1.667959798,0.002071946,0,0,0,0,0,0
 03/14  08:00:00,-1.908333333,4.383333333,9.083333333,19.62512811,0.002450381,7281.157247,6998.968726,0,24990113.36,25196287.41,3110400
 03/14  09:00:00,-1.35,5.591666667,25.08333333,20.00009247,0.002755233,4474.419564,4185.823056,0,14859504.86,15068963,3110400
 03/14  10:00:00,-0.458333333,6.325,5.833333333,20.00181291,0.002919212,3489.994307,3185.369067,0,11288153.01,11467328.64,3110400
 03/14  11:00:00,0.35,5.708333333,1.583333333,20.0002222,0.003085047,2889.79273,2618.193222,0,9279184.913,9425495.598,3110400
 03/14  12:00:00,0.891666667,4.358333333,2.333333333,20.00000853,0.003265671,2455.81591,2237.04586,0,7928643.591,8053365.097,3110400
 03/14  13:00:00,1.1,4.191666667,0.25,20.00000851,0.003461985,2366.355888,2189.612828,0,7760018.103,7882606.18,3110400
 03/14  14:00:00,1.1,5.216666667,0,20.00000887,0.003615534,2422.716544,2273.753212,0,8057765.729,8185511.564,3110400
 03/14  15:00:00,2.091666667,5.333333333,0,20.0000081,0.003852151,2241.875696,2050.182995,0,7265637.63,7380658.781,3110400
 03/14  16:00:00,3.441666667,4.65,0,20.00000876,0.004181489,3032.831133,2617.571666,0,9274909.678,9423257.998,2073600
 03/14  17:00:00,3.55,4.4,0,20.00035518,0.0046336,3037.878383,2762.27979,0,9785635.142,9944207.246,2073600
 03/14  18:00:00,3.3,2.825,0,10.92326277,0.004652891,0,0,0,0,0,0
 03/14  19:00:00,3.65,1.991666667,0,8.7979976,0.004818366,0,0,0,0,0,0
 03/14  20:00:00,3.258333333,2.2,0,7.952504615,0.004780139,0,0,0,0,0,0
 03/14  21:00:00,2.8,2.725,0,7.19618247,0.004647855,0,0,0,0,0,0
 03/14  22:00:00,3.441666667,3.858333333,0,6.993997924,0.004821941,0,0,0,0,0,0
 03/14  23:00:00,4.891666667,5.216666667,0,7.303882157,0.005087178,0,0,0,0,0,0
 03/14  24:00:00,5.6,5.333333333,0,7.56050865,0.005329662,0,0,0,0,0,0
 03/15  01:00:00,5.6,4.65,0,7.497388597,0.005346889,0,0,0,0,0,0
 03/15  02:00:00,5.25,5.566666667,0,7.300503099,0.005285213,0,0,0,0,0,0
 03/15  03:00:00,4.358333333,5.758333333,0,6.84685487,0.005039958,0,0,0,0,0,0
 03/15  04:00:00,3.9,6.116666667,0,6.471716077,0.004804669,0,0,0,0,0,0
 03/15  05:00:00,3.258333333,5.883333333,0,6.069059131,0.0042423,0,0,0,0,0,0
 03/15  06:00:00,2.45,5.941666667,0,5.50433502,0.003265547,0,0,0,0,0,0
 03/15  07:00:00,2.2,6.575,0,5.156794929,0.003022981,0,0,0,0,0,0
